"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"duraEuroposAmphitheater","Amphitheater at Dura Europos","Dura Europos","Dura Europus","https://pleiades.stoa.org/places/893989","","129","amphitheater","good","severan",False,1000,"Syria","syria","5ADZC245","https://amphi-theatrum.de/1449.html",False,31,25,50,44,,40.728926,34.749855,223
"arlesAmphitheater","Amphitheater at Arles","Arles","Arelate","https://pleiades.stoa.org/places/148217","","154","amphitheater","good","flavian",True,23354,"France","narbonensis","LD7NNHSG","https://amphi-theatrum.de/1371.html",False,47,32,136,107,,4.631111,43.677778,21
"lyonAmphitheater","Amphitheater at Lyon","Lyon","Lugdunum","https://pleiades.stoa.org/places/167717","","171","amphitheater","partial","second-century",True,27454,"France","lugdunensis","","https://amphi-theatrum.de/1416.html",False,67.6,42,143,117,,4.830556,45.770556,206
"ludusMagnusArena","Ludus Magnus Arena","Ludus Magnus","Ludus Magnus","https://pleiades.stoa.org/places/423025","","","practice-arena","partial","imperial",False,,"Italy","regio-i","","https://amphi-theatrum.de/1708.html",True,,,,,,12.494913,41.88995,22
"romeFlavianAmphitheater","Flavian Amphitheater at Rome","Flavian Amphitheater","Roma","https://pleiades.stoa.org/places/423025","","152","amphitheater","good","flavian",True,50000,"Italy","regio-i","VKMRD8AT","https://amphi-theatrum.de/1373.html",False,83,48,189,156,52,12.492269,41.890169,22
"romeAmphitheatrumCastrense","Amphitheatrum Castrense (Rome)","Amph. Castrense","Roma","https://pleiades.stoa.org/places/423025","","189","amphitheater","good","severan",False,7000,"Italy","regio-i","","https://amphi-theatrum.de/1566.html",False,,,88,75.8,,12.515144,41.887715,48
"eleutheropolisAmphitheater","Amphitheater at Eleutheropolis","Eleutheropolis","Eleutheropolis","https://pleiades.stoa.org/places/687854","","","amphitheater","good","second-century",True,3500,"Israel","judaea","","https://amphi-theatrum.de/2397.html",False,47,38,71,56,,34.893845,31.608189,253
"pompeiiAmphitheater","Amphitheater at Pompeii","Pompeii","Pompeii","https://pleiades.stoa.org/places/433032","1","2","amphitheater","good","republican",False,20000,"Italy","regio-i","2DX4CYZZ","https://amphi-theatrum.de/1367.html",False,66,35,135,104,,14.495262,40.751213,21
"meridaAmphitheater","Amphitheater at Mérida","Mérida","Emerita Augusta","https://pleiades.stoa.org/places/256155","","77","amphitheater","good","julio-claudian",True,15000,"Spain","lusitania","","https://amphi-theatrum.de/2701.html",False,64,41,126,102,,-6.337952,38.916168,231
"newsteadAmphitheater","Amphitheater at Newstead","Newstead","Trimontium","https://pleiades.stoa.org/places/89304","","","amphitheater","poor","flavian",True,1500,"United Kingdom","britannia","CPSBJ2HR","https://amphi-theatrum.de/1899.html",False,37,23,70,60,,-2.6919,55.6026,83
"conimbrigaAmphitheater","Amphitheater at Conimbriga","Conimbriga","Conimbriga","https://pleiades.stoa.org/places/236443","","101","amphitheater","none","julio-claudian",True,4000,"Portugal","lusitania","","https://amphi-theatrum.de/1528.html",False,54,40,94,80,,-8.49333,40.099444,100
"cumaeAmphitheater","Amphitheater at Cumae","Cumae","Cumae","https://pleiades.stoa.org/places/432808","4","","amphitheater","partial","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/1474.html",False,,,114,84,,14.056,40.841847,19
"pozzuoliFlavianAmphitheater","Flavian Amphitheater at Pozzuoli","Pozzuoli (Flavian)","Puteoli","https://pleiades.stoa.org/places/432815","","153","amphitheater","good","flavian",True,35700,"Italy","regio-i","DKQ6KDQ2","https://amphi-theatrum.de/1466.html",False,74.8,42,149,116,,14.125315,40.825929,41
"pozzuoliEarlyAmphitheater","Early Amphitheater at Pozzuoli","Pozzuoli (Early)","Puteoli","https://pleiades.stoa.org/places/432815","8","5","amphitheater","none","republican",False,,"Italy","regio-i","","https://amphi-theatrum.de/1465.html",True,,,,,,14.127615,40.826239,58
"syracuseAmphitheater","Amphitheater at Syracuse","Syracuse","Syracusae","https://pleiades.stoa.org/places/462503","","83","amphitheater","good","julio-claudian",True,28773,"Italy","sicilia","","https://amphi-theatrum.de/1514.html",False,69.8,39.7,146.8,118.7,,15.278934,37.074132,23
"carthageAmphitheater","Amphitheater at Carthage","Carthage","Carthago","https://pleiades.stoa.org/places/314921","","174","amphitheater","poor","augustan",True,30000,"Tunisia","proconsularis","5V8IDURU","https://amphi-theatrum.de/1309.html",False,64,36,156,128,,10.314924,36.856078,14
"hadrianVillaAmphitheater","Amphitheater at Hadrian's Villa at Tivoli","Tivoli Villa","Villa Hadriani","https://pleiades.stoa.org/places/423127","","","amphitheater","poor","hadrianic",True,,"Italy","regio-i","","",False,,,25,,,12.778916,41.94164,99
"corinthAmphitheater","Amphitheater at Corinth","Corinth","Corinthus","https://pleiades.stoa.org/places/570182","18","126","amphitheater","good","caesarean",True,14000,"Greece","achaea","","https://amphi-theatrum.de/1361.html",False,58,30,98,70,,22.892126,37.909629,98
"marcianopolisAmphitheater","Amphitheater at Marcianopolis (Devnya)","Marcianopolis","Marcianopolis","https://pleiades.stoa.org/places/216878","","127","amphitheater","none","severan",True,4000,"Bulgaria","thracia","","https://amphi-theatrum.de/1534.html",False,50,40,70,60,,27.556674,43.218689,120
"porolissumAmphitheater","Amphitheater at Porolissum","Porolissum","Porolissum","https://pleiades.stoa.org/places/207361","","39","amphitheater","good","second-century",True,,"Romania","dacia","","https://amphi-theatrum.de/1443.html",False,64,52,84,75,,23.154052,47.177552,441
"nijmegenAmphitheater","Amphitheater at Nijmegen","Nijmegen","Ulpia Noviomagus","https://pleiades.stoa.org/places/98921","","38","amphitheater","none","second-century",True,,"Netherlands","germania-inferior","","https://amphi-theatrum.de/1453.html",False,60,40,,,,5.878859,51.838523,46
"carnuntumMilitaryAmphitheater","Military Amphitheater at Carnuntum","Carnuntum (Mil.)","Carnuntum","https://pleiades.stoa.org/places/128376","","122","amphitheater","good","first-century",True,8000,"Austria","pannonia","","https://amphi-theatrum.de/1432.html",False,71,43,99.5,81.5,,16.892619,48.126824,164
"carnuntumLudus","Carnuntum (Ludus)","Carnuntum Ludus","Carnuntum","https://pleiades.stoa.org/places/128376","","","practice-arena","none","imperial",False,,"Austria","pannonia","","https://amphi-theatrum.de/2188.html",True,,,,,,16.848689,48.109807,185
"carnuntumCivilianAmphitheater","Civilian Amphitheater at Carnuntum","Carnuntum (Civ.)","Carnuntum","https://pleiades.stoa.org/places/128376","","123","amphitheater","good","second-century",True,13000,"Austria","pannonia","","https://amphi-theatrum.de/1431.html",False,66,50,129,113,,16.850943,48.110019,185
